regid,geom
1d305734-0a0f-4f1c-91bd-e8f0985a2a34,"{""type"": ""LineString"", ""coordinates"": [[-74.01144394883887, 40.722976900252746], [-74.00968039641158, 40.722801366881555]]}"
6ca998ae-3a80-4127-8e65-fbb9e0e5afe1,"{""type"": ""Point"", ""coordinates"": [-73.99063679622488, 40.6984693423005]}"
1b91153f-926a-4e35-ac14-2c6bdb73731f,"{""type"": ""Point"", ""coordinates"": [-73.94494593143465, 40.76643657301343]}"
45d79cb8-c30d-421c-867f-92fd902010e2,"{""type"": ""Point"", ""coordinates"": [-73.99799466133119, 40.71155271940057]}"
920a79a9-4ae5-4237-9472-45b355964e62,"{""type"": ""LineString"", ""coordinates"": [[-73.93534915521742, 40.69700731963705], [-73.91105722635986, 40.69957833307092]]}"
2774db31-38d8-48b2-8203-d4395b7c411a,"{""type"": ""Point"", ""coordinates"": [-73.87488126754762, 40.70683570919921]}"
adea68f9-b2d0-46b1-a3b2-c40466b4d1b3,"{""type"": ""Point"", ""coordinates"": [-74.00423553306611, 40.65451075204232]}"
c037514b-ef84-45f2-a66d-9665f7269d37,"{""type"": ""Point"", ""coordinates"": [-73.95500421524049, 40.81725201529448]}"
2a123ca0-3926-421d-bdd0-fd4cb45bca80,"{""type"": ""LineString"", ""coordinates"": [[-73.93824286060408, 40.62187988901131], [-73.93782674102114, 40.6196478042178]]}"
5ef66655-381f-471f-a262-b9d88ed22899,"{""type"": ""LineString"", ""coordinates"": [[-73.88404905796052, 40.722766476134616], [-73.88294935226442, 40.72138010600931]]}"
2fb0d997-f2b0-401d-904d-0d6ac70f36bc,"{""type"": ""Point"", ""coordinates"": [-73.99855256080629, 40.73029546588842]}"
ec70017c-0799-4524-b019-51fef4862840,"{""type"": ""LineString"", ""coordinates"": [[-73.85998964309694, 40.66984846769583], [-73.85104179382326, 40.67106909346583]]}"
77de65ec-d5e9-4102-bedd-f06ff51cd504,"{""type"": ""Point"", ""coordinates"": [-73.90236676437782, 40.88353299954122]}"
846316b8-1fcc-4a71-b43e-971ab1db9a67,"{""type"": ""LineString"", ""coordinates"": [[-73.79334211349489, 40.73264098683176], [-73.79297733306886, 40.73890072455579]]}"
f6eb9604-cda0-40d3-bcfe-e869623a041f,"{""type"": ""Point"", ""coordinates"": [-73.92089211149143, 40.86263062132685]}"
2d809b14-4a86-4e59-88d3-33e8bbfc4237,"{""type"": ""LineString"", ""coordinates"": [[-73.9220846258104, 40.628524295604905], [-73.92159868497403, 40.62392056653253]]}"
a45e9e23-06c9-45c2-9d99-87451bccacda,"{""type"": ""Point"", ""coordinates"": [-73.88470427133143, 40.87975679166673]}"
a49cddfc-bce9-4c74-aa13-de64b648c9ed,"{""type"": ""LineString"", ""coordinates"": [[-74.00385260581972, 40.73941285884857], [-74.00965690612794, 40.739364084323874]]}"
4cd01e2f-daea-4b2d-bdd1-71fede21328d,"{""type"": ""Polygon"", ""coordinates"": [[[-73.76389145851137, 40.59603236559728], [-73.76208901405336, 40.59621973669443], [-73.76129508018495, 40.5962767625763], [-73.76065135002138, 40.59626861602474], [-73.7600076198578, 40.596130124496106], [-73.7596106529236, 40.5960568053354]]]}"
0f2464b0-be52-456a-8c0a-4c4325e854e2,"{""type"": ""Point"", ""coordinates"": [-73.99018436204643, 40.6925006258512]}"
